Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
Airlines,Online,Basic Plan,No,33.0,THAILAND,30.0,10.5,M,56.0
Airlines,Online,Basic Plan,No,35.0,THAILAND,22.0,7.7,F,51.0
Airlines,Online,Basic Plan,No,3.0,THAILAND,18.0,6.3,M,47.0
Travel Agency,Online,Value Plan,No,110.0,INDONESIA,28.0,10.64,F,48.0
Airlines,Online,Basic Plan,No,37.0,PHILIPPINES,22.0,7.7,F,45.0
Airlines,Online,Basic Plan,No,11.0,HONG KONG,26.0,9.1,M,59.0
Airlines,Online,Basic Plan,No,15.0,MALAYSIA,33.0,11.55,M,45.0
Airlines,Online,Basic Plan,No,34.0,THAILAND,30.0,10.5,F,38.0
Airlines,Online,Silver Plan,No,86.0,SINGAPORE,109.0,27.25,F,47.0
Airlines,Online,Silver Plan,No,5.0,SINGAPORE,27.75,6.94,M,46.0
Airlines,Online,Basic Plan,No,9.0,HONG KONG,22.0,7.7,M,47.0
Airlines,Online,Basic Plan,No,6.0,CHINA,26.0,9.1,M,60.0
Airlines,Online,Bronze Plan,No,12.0,SINGAPORE,30.55,7.64,F,51.0
Airlines,Online,Value Plan,No,2.0,INDONESIA,26.0,9.1,M,118.0
Airlines,Online,Silver Plan,No,35.0,SINGAPORE,46.15,11.54,M,32.0
Airlines,Online,Basic Plan,No,33.0,"KOREA, REPUBLIC OF",63.0,22.05,F,24.0
Travel Agency,Offline,Comprehensive Plan,No,107.0,THAILAND,29.0,9.57,F,68.0
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,289.0,72.25,M,30.0
Airlines,Online,Silver Plan,No,68.0,SINGAPORE,62.25,15.56,F,26.0
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,291.75,72.94,F,27.0
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,40.2,10.05,M,28.0
Airlines,Online,Gold Plan,No,26.0,SINGAPORE,77.35,19.34,M,33.0
Travel Agency,Offline,Comprehensive Plan,No,9.0,THAILAND,29.0,9.57,F,80.0
Travel Agency,Offline,Comprehensive Plan,No,84.0,THAILAND,29.0,9.57,F,56.0
Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,30.55,7.64,F,28.0
Airlines,Online,Value Plan,No,6.0,INDIA,78.0,31.2,M,118.0
Airlines,Online,Basic Plan,No,123.0,CHINA,35.0,12.25,M,25.0
Airlines,Online,Basic Plan,No,17.0,CHINA,22.0,7.7,M,118.0
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,24.05,6.01,M,66.0
Airlines,Online,Bronze Plan,No,18.0,SINGAPORE,53.5,13.38,M,29.0
Airlines,Online,Basic Plan,No,9.0,MALAYSIA,22.0,7.7,F,37.0
Airlines,Online,Basic Plan,No,48.0,HONG KONG,26.0,9.1,M,48.0
Airlines,Online,Basic Plan,No,6.0,MALAYSIA,18.0,6.3,M,63.0
Airlines,Online,Bronze Plan,No,26.0,SINGAPORE,22.1,5.53,F,63.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,17.55,4.39,F,35.0
Airlines,Online,Value Plan,No,3.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Basic Plan,No,24.0,CHINA,22.0,7.7,M,49.0
Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,187.85,46.96,F,26.0
Airlines,Online,Basic Plan,No,103.0,PHILIPPINES,33.0,11.55,F,50.0
Airlines,Online,Basic Plan,No,8.0,THAILAND,22.0,7.7,M,47.0
Airlines,Online,Value Plan,No,76.0,INDIA,100.0,40.0,F,118.0
Airlines,Online,Basic Plan,No,15.0,CHINA,22.0,7.7,F,32.0
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,22.1,5.53,F,27.0
Airlines,Online,Silver Plan,No,41.0,SINGAPORE,109.0,27.25,M,35.0
Airlines,Online,Bronze Plan,No,27.0,SINGAPORE,66.75,16.69,F,63.0
Airlines,Online,Basic Plan,No,121.0,JAPAN,40.0,14.0,F,49.0
Airlines,Online,Basic Plan,No,11.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,36.0
Airlines,Online,Silver Plan,No,19.0,SINGAPORE,127.0,31.75,F,32.0
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,252.85,63.21,F,33.0
Airlines,Online,Basic Plan,No,168.0,"KOREA, REPUBLIC OF",97.0,33.95,M,24.0
Airlines,Online,Basic Plan,No,3.0,THAILAND,18.0,6.3,M,45.0
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,27.75,6.94,M,59.0
Airlines,Online,Annual Silver Plan,No,740.0,SINGAPORE,0.0,54.19,F,36.0
Airlines,Online,Basic Plan,No,3.0,MYANMAR,18.0,6.3,F,27.0
Airlines,Online,Value Plan,No,12.0,PHILIPPINES,26.0,9.1,F,59.0
Airlines,Online,Value Plan,No,2.0,BRUNEI DARUSSALAM,15.0,6.0,M,53.0
Airlines,Online,Value Plan,No,9.0,INDIA,50.0,20.0,M,118.0
Airlines,Online,Basic Plan,No,3.0,INDONESIA,18.0,6.3,M,62.0
Airlines,Online,Basic Plan,No,27.0,MYANMAR,37.0,12.95,M,37.0
Airlines,Online,Value Plan,No,6.0,"KOREA, REPUBLIC OF",36.0,12.6,M,62.0
Airlines,Online,Basic Plan,No,64.0,INDONESIA,33.0,11.55,F,43.0
Airlines,Online,Bronze Plan,No,22.0,SINGAPORE,40.5,10.13,M,30.0
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,252.85,63.21,M,66.0
Airlines,Online,Value Plan,No,17.0,INDIA,72.0,28.8,M,118.0
Travel Agency,Online,Value Plan,No,67.0,HUNGARY,95.0,36.1,F,48.0
Airlines,Online,Basic Plan,No,32.0,CHINA,26.0,9.1,M,59.0
Airlines,Online,Value Plan,No,3.0,BRUNEI DARUSSALAM,15.0,6.0,M,45.0
Airlines,Online,Value Plan,No,84.0,UNITED STATES,96.0,33.6,F,44.0
Airlines,Online,Value Plan,No,4.0,INDIA,39.0,15.6,M,118.0
Airlines,Online,Value Plan,No,10.0,BRUNEI DARUSSALAM,15.0,6.0,M,30.0
Airlines,Online,Bronze Plan,No,174.0,SINGAPORE,107.0,26.75,M,29.0
Airlines,Online,Basic Plan,No,17.0,MYANMAR,18.0,6.3,F,30.0
Airlines,Online,Bronze Plan,No,31.0,SINGAPORE,0.0,16.41,F,23.0
Airlines,Online,Basic Plan,No,6.0,HONG KONG,22.0,7.7,M,64.0
Travel Agency,Online,Value Plan,No,48.0,INDONESIA,28.0,10.64,F,48.0
Airlines,Online,Basic Plan,No,5.0,MALAYSIA,18.0,6.3,F,50.0
Airlines,Online,Value Plan,No,5.0,BRUNEI DARUSSALAM,15.0,6.0,M,36.0
Airlines,Online,Basic Plan,No,11.0,CHINA,22.0,7.7,M,67.0
Airlines,Online,Value Plan,No,25.0,INDIA,60.0,24.0,M,118.0
Airlines,Online,Value Plan,No,129.0,"KOREA, REPUBLIC OF",45.0,15.75,M,47.0
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,F,46.0
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,53.25,13.31,M,33.0
Airlines,Online,Basic Plan,No,10.0,PHILIPPINES,22.0,7.7,F,36.0
Airlines,Online,Bronze Plan,No,18.0,SINGAPORE,23.5,5.88,F,32.0
Airlines,Online,Bronze Plan,No,3.0,SINGAPORE,23.4,5.85,M,37.0
Airlines,Online,Value Plan,Yes,113.0,UNITED STATES,164.0,57.4,F,35.0
Airlines,Online,Basic Plan,No,9.0,MYANMAR,22.0,7.7,M,51.0
Airlines,Online,Basic Plan,No,7.0,MYANMAR,18.0,6.3,F,31.0
Airlines,Online,Basic Plan,No,89.0,INDONESIA,42.0,14.7,F,31.0
Airlines,Online,Silver Plan,No,0.0,SINGAPORE,0.0,5.63,F,51.0
Airlines,Online,24 Protect,No,4.0,MALAYSIA,19.58,6.85,M,48.0
Airlines,Online,Annual Silver Plan,No,369.0,SINGAPORE,252.85,63.21,M,31.0
Airlines,Online,Basic Plan,No,8.0,CHINA,35.0,12.25,M,47.0
Airlines,Online,Basic Plan,No,59.0,MALAYSIA,30.0,10.5,M,51.0
Airlines,Online,Basic Plan,No,10.0,INDONESIA,18.0,6.3,F,23.0
Airlines,Online,Silver Plan,No,83.0,SINGAPORE,76.3,19.07,F,39.0
Travel Agency,Offline,Comprehensive Plan,No,5.0,MALAYSIA,29.0,9.57,F,71.0
Airlines,Online,Basic Plan,No,45.0,PHILIPPINES,30.0,10.5,F,55.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,17.0,4.25,M,23.0
Airlines,Online,Basic Plan,No,99.0,MALAYSIA,18.0,6.3,F,40.0
Travel Agency,Offline,Comprehensive Plan,No,245.0,THAILAND,29.0,9.57,F,64.0
Airlines,Online,Value Plan,No,5.0,BRUNEI DARUSSALAM,15.0,6.0,F,30.0
Airlines,Online,Value Plan,No,7.0,AUSTRALIA,45.0,15.75,M,37.0
Airlines,Online,Basic Plan,No,40.0,MALAYSIA,22.0,7.7,M,48.0
Airlines,Online,Annual Silver Plan,No,406.0,SINGAPORE,252.85,63.21,F,61.0
Airlines,Online,Basic Plan,No,1.0,MALAYSIA,18.0,6.3,M,44.0
Airlines,Online,Basic Plan,No,29.0,CHINA,35.0,12.25,M,46.0
Airlines,Online,Gold Plan,No,5.0,SINGAPORE,37.8,9.45,F,36.0
Airlines,Online,Basic Plan,No,5.0,THAILAND,18.0,6.3,M,53.0
Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,14.95,3.74,F,66.0
Airlines,Online,Basic Plan,No,58.0,HONG KONG,26.0,9.1,F,34.0
Airlines,Online,Basic Plan,No,72.0,CHINA,35.0,12.25,F,27.0
Airlines,Online,Basic Plan,No,4.0,INDONESIA,18.0,6.3,F,33.0
Airlines,Online,Basic Plan,No,5.0,MALAYSIA,18.0,6.3,M,62.0
Travel Agency,Offline,Comprehensive Plan,No,33.0,THAILAND,29.0,9.57,F,29.0
Airlines,Online,Basic Plan,No,42.0,MALAYSIA,18.0,6.3,F,63.0
Travel Agency,Offline,Comprehensive Plan,No,49.0,MALAYSIA,29.0,9.57,M,33.0
Airlines,Online,Silver Plan,No,3.0,SINGAPORE,30.0,7.5,M,32.0
Airlines,Online,Basic Plan,No,17.0,CHINA,35.0,12.25,M,42.0
Airlines,Online,Silver Plan,No,15.0,SINGAPORE,32.5,8.13,M,26.0
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,17.55,4.39,F,29.0
Airlines,Online,Silver Plan,Yes,88.0,SINGAPORE,54.5,13.63,M,60.0
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,20.25,5.06,F,21.0
Airlines,Online,Value Plan,No,6.0,BRUNEI DARUSSALAM,15.0,6.0,M,48.0
Airlines,Online,Basic Plan,No,3.0,INDONESIA,18.0,6.3,M,37.0
Airlines,Online,Basic Plan,No,12.0,BANGLADESH,22.0,7.7,M,31.0
Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,23.5,5.88,F,31.0
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,23.4,5.85,F,43.0
Airlines,Online,Gold Plan,No,10.0,SINGAPORE,63.7,15.93,M,71.0
Airlines,Online,Silver Plan,No,10.0,SINGAPORE,67.0,16.75,F,43.0
Airlines,Online,Basic Plan,No,50.0,CHINA,35.0,12.25,M,40.0
Airlines,Online,Basic Plan,No,20.0,HONG KONG,22.0,7.7,F,28.0
Airlines,Online,Basic Plan,No,10.0,HONG KONG,26.0,9.1,M,69.0
Airlines,Online,Value Plan,No,83.0,THAILAND,56.0,19.6,M,73.0
Airlines,Online,Basic Plan,No,54.0,HONG KONG,35.0,12.25,F,47.0
Airlines,Online,Bronze Plan,No,2.0,SINGAPORE,11.5,2.88,F,25.0
Airlines,Online,Silver Plan,No,42.0,SINGAPORE,0.0,27.25,F,33.0
Airlines,Online,Basic Plan,No,7.0,INDIA,22.0,7.7,F,29.0
Airlines,Online,Basic Plan,No,1.0,INDONESIA,18.0,6.3,M,54.0
Airlines,Online,Value Plan,No,62.0,INDIA,144.0,57.6,F,118.0
Airlines,Online,Basic Plan,No,6.0,THAILAND,22.0,7.7,F,60.0
Airlines,Online,Basic Plan,No,14.0,PHILIPPINES,18.0,6.3,F,34.0
Airlines,Online,Value Plan,No,6.0,BRUNEI DARUSSALAM,15.0,6.0,M,69.0
Airlines,Online,Basic Plan,No,17.0,CHINA,26.0,9.1,F,27.0
Airlines,Online,Basic Plan,No,11.0,PHILIPPINES,30.0,10.5,F,38.0
Airlines,Online,Basic Plan,No,164.0,PHILIPPINES,47.0,16.45,F,39.0
Airlines,Online,Basic Plan,No,2.0,INDONESIA,18.0,6.3,M,24.0
Travel Agency,Offline,Comprehensive Plan,No,77.0,MALAYSIA,29.0,9.57,F,42.0
Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,20.25,5.06,M,33.0
Airlines,Online,Basic Plan,No,2.0,INDONESIA,18.0,6.3,M,56.0
Airlines,Online,Annual Silver Plan,No,547.0,SINGAPORE,252.85,63.21,F,33.0
Airlines,Online,Silver Plan,No,13.0,SINGAPORE,19.5,4.88,M,34.0
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,187.85,46.96,M,57.0
Airlines,Online,Basic Plan,No,4.0,MYANMAR,22.0,7.7,M,44.0
Airlines,Online,Annual Silver Plan,No,380.0,SINGAPORE,252.85,63.21,F,37.0
Airlines,Online,Silver Plan,No,18.0,SINGAPORE,62.25,15.56,M,35.0
Airlines,Online,Annual Silver Plan,No,380.0,SINGAPORE,252.85,63.21,M,34.0
Airlines,Online,Basic Plan,No,86.0,JAPAN,35.0,12.25,F,58.0
Airlines,Online,Bronze Plan,Yes,42.0,SINGAPORE,94.0,23.5,F,28.0
Airlines,Online,Basic Plan,No,4.0,MALAYSIA,18.0,6.3,M,47.0
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,389.0,97.25,M,31.0
Airlines,Online,Basic Plan,No,23.0,AUSTRALIA,44.0,15.4,M,18.0
Airlines,Online,Basic Plan,No,16.0,HONG KONG,22.0,7.7,M,64.0
Airlines,Online,Basic Plan,No,31.0,MALAYSIA,18.0,6.3,F,41.0
Airlines,Online,Value Plan,No,55.0,INDIA,120.0,48.0,F,118.0
Airlines,Online,Annual Gold Plan,No,383.0,SINGAPORE,599.0,149.75,M,34.0
Airlines,Online,Bronze Plan,No,17.0,SINGAPORE,32.9,8.22,M,22.0
Airlines,Online,Basic Plan,No,7.0,MALAYSIA,18.0,6.3,F,28.0
Airlines,Online,Basic Plan,No,18.0,HONG KONG,26.0,9.1,F,33.0
Airlines,Online,Basic Plan,No,7.0,AUSTRALIA,26.0,9.1,F,43.0
Airlines,Online,Silver Plan,No,5.0,SINGAPORE,37.0,9.25,F,50.0
Airlines,Online,Bronze Plan,No,45.0,SINGAPORE,23.4,5.85,M,38.0
Airlines,Online,Basic Plan,No,5.0,MYANMAR,22.0,7.7,M,51.0
Airlines,Online,Basic Plan,No,17.0,MALAYSIA,33.0,11.55,M,48.0
Airlines,Online,Basic Plan,No,70.0,JAPAN,35.0,12.25,F,39.0
Airlines,Online,Value Plan,No,19.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Bronze Plan,No,14.0,SINGAPORE,17.55,4.39,F,40.0
Airlines,Online,Silver Plan,No,10.0,SINGAPORE,32.5,8.13,F,18.0
Airlines,Online,Value Plan,No,22.0,JAPAN,58.0,20.3,M,34.0
Airlines,Online,Silver Plan,No,59.0,SINGAPORE,88.9,22.23,M,45.0
Airlines,Online,Basic Plan,No,38.0,THAILAND,30.0,10.5,M,46.0
Airlines,Online,Basic Plan,No,36.0,VIET NAM,18.0,6.3,M,61.0
Airlines,Online,Value Plan,No,36.0,CHINA,45.0,15.75,M,62.0
Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,25.5,6.38,F,38.0
Airlines,Online,Basic Plan,No,29.0,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,F,61.0
Airlines,Online,Basic Plan,No,40.0,THAILAND,30.0,10.5,M,27.0
Airlines,Online,Basic Plan,No,53.0,THAILAND,22.0,7.7,M,59.0
Airlines,Online,Basic Plan,No,29.0,HONG KONG,26.0,9.1,M,45.0
Airlines,Online,Bronze Plan,Yes,33.0,SINGAPORE,35.25,8.81,F,20.0
Airlines,Online,Basic Plan,No,39.0,THAILAND,18.0,6.3,M,41.0
Airlines,Online,Bronze Plan,No,46.0,SINGAPORE,101.0,25.25,F,24.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,27.0,6.75,F,38.0
Airlines,Online,Value Plan,No,90.0,GERMANY,149.0,52.15,F,33.0
Airlines,Online,Basic Plan,No,11.0,CHINA,35.0,12.25,M,34.0
Airlines,Online,Basic Plan,No,5.0,INDONESIA,18.0,6.3,M,60.0
Airlines,Online,Basic Plan,No,10.0,JAPAN,35.0,12.25,F,61.0
Airlines,Online,Basic Plan,No,11.0,MYANMAR,18.0,6.3,M,32.0
Airlines,Online,Basic Plan,No,12.0,THAILAND,22.0,7.7,M,66.0
Airlines,Online,Basic Plan,No,31.0,HONG KONG,63.0,22.05,F,43.0
Airlines,Online,Annual Silver Plan,No,403.0,SINGAPORE,252.85,63.21,F,54.0
Airlines,Online,Bronze Plan,No,85.0,SINGAPORE,30.55,7.64,F,35.0
Airlines,Online,Basic Plan,No,17.0,CHINA,26.0,9.1,M,59.0
Airlines,Online,Value Plan,No,21.0,THAILAND,29.0,10.15,M,118.0
Airlines,Online,Value Plan,No,12.0,BRUNEI DARUSSALAM,15.0,6.0,M,19.0
Airlines,Online,Basic Plan,No,1.0,INDONESIA,18.0,6.3,F,28.0
Airlines,Online,Annual Silver Plan,No,383.0,SINGAPORE,252.85,63.21,M,40.0
Airlines,Online,Basic Plan,No,34.0,THAILAND,47.0,16.45,M,63.0
Airlines,Online,Basic Plan,No,11.0,SRI LANKA,0.0,12.25,M,33.0
Airlines,Online,Basic Plan,No,6.0,INDONESIA,18.0,6.3,F,28.0
Airlines,Online,Bronze Plan,No,96.0,SINGAPORE,17.0,4.25,F,26.0
Travel Agency,Offline,Comprehensive Plan,No,94.0,MALAYSIA,29.0,9.57,M,76.0
Airlines,Online,Basic Plan,No,40.0,AUSTRALIA,40.0,14.0,M,36.0
Airlines,Online,Value Plan,No,15.0,BRUNEI DARUSSALAM,15.0,6.0,M,71.0
Airlines,Online,Silver Plan,No,16.0,SINGAPORE,60.75,15.19,M,38.0
Airlines,Online,Basic Plan,No,23.0,MALAYSIA,22.0,7.7,M,53.0
Airlines,Online,Basic Plan,No,16.0,CHINA,22.0,7.7,F,69.0
Airlines,Online,Value Plan,No,3.0,BRUNEI DARUSSALAM,15.0,6.0,M,58.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,57.0,14.25,M,31.0
Airlines,Online,Basic Plan,No,2.0,CHINA,22.0,7.7,F,32.0
Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,22.1,5.53,M,28.0
Airlines,Online,Value Plan,No,37.0,INDIA,39.0,15.6,F,118.0
Airlines,Online,Basic Plan,No,43.0,THAILAND,22.0,7.7,F,34.0
Airlines,Online,Bronze Plan,No,36.0,SINGAPORE,80.6,20.15,M,27.0
Airlines,Online,Value Plan,No,0.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Basic Plan,No,44.0,CHINA,40.0,14.0,F,51.0
Airlines,Online,Value Plan,No,23.0,SRI LANKA,58.0,20.3,M,40.0
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,62.25,15.56,F,25.0
Airlines,Online,Basic Plan,No,74.0,CHINA,26.0,9.1,M,48.0
Airlines,Online,Basic Plan,No,5.0,MALAYSIA,22.0,7.7,F,45.0
Travel Agency,Online,Value Plan,No,41.0,NETHERLANDS,95.0,36.1,F,48.0
Airlines,Online,Basic Plan,No,24.0,PHILIPPINES,22.0,7.7,M,63.0
Airlines,Online,Value Plan,No,10.0,INDIA,58.0,20.3,M,48.0
Airlines,Online,Silver Plan,No,10.0,SINGAPORE,34.3,8.57,F,72.0
Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,29.9,7.47,F,26.0
Airlines,Online,Basic Plan,No,22.0,HONG KONG,35.0,12.25,F,49.0
Airlines,Online,Basic Plan,No,85.0,CHINA,26.0,9.1,M,48.0
Airlines,Online,Silver Plan,No,15.0,SINGAPORE,24.05,6.01,M,29.0
Airlines,Online,Basic Plan,No,26.0,PHILIPPINES,18.0,6.3,M,36.0
Airlines,Online,Annual Silver Plan,No,384.0,SINGAPORE,216.75,54.19,M,25.0
Airlines,Online,Basic Plan,No,40.0,HONG KONG,22.0,7.7,M,40.0
Travel Agency,Online,Value Plan,No,23.0,INDONESIA,22.0,8.36,M,48.0
Airlines,Online,Basic Plan,No,6.0,THAILAND,18.0,6.3,M,38.0
Airlines,Online,Value Plan,No,3.0,INDIA,62.0,24.8,M,118.0
Airlines,Online,Basic Plan,Yes,9.0,CHINA,26.0,9.1,M,47.0
Airlines,Online,Basic Plan,No,30.0,CHINA,40.0,14.0,M,71.0
Airlines,Online,Annual Silver Plan,No,370.0,SINGAPORE,252.85,63.21,F,62.0
Airlines,Online,Silver Plan,No,25.0,SINGAPORE,31.85,7.96,M,83.0
Airlines,Online,Value Plan,No,18.0,INDIA,0.0,28.8,M,118.0
Airlines,Online,Basic Plan,No,22.0,HONG KONG,40.0,14.0,M,50.0
Airlines,Online,Value Plan,No,2.0,BRUNEI DARUSSALAM,15.0,6.0,M,67.0
Airlines,Online,Silver Plan,No,7.0,SINGAPORE,24.05,6.01,M,61.0
Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,30.55,7.64,M,30.0
Airlines,Online,Value Plan,No,1.0,BRUNEI DARUSSALAM,15.0,6.0,M,36.0
Airlines,Online,Annual Silver Plan,No,403.0,SINGAPORE,187.85,46.96,F,34.0
Airlines,Online,Basic Plan,No,59.0,HONG KONG,26.0,9.1,M,34.0
Airlines,Online,Basic Plan,No,60.0,HONG KONG,22.0,7.7,F,38.0
Airlines,Online,Basic Plan,No,17.0,THAILAND,22.0,7.7,F,21.0
Travel Agency,Offline,Comprehensive Plan,No,225.0,MALAYSIA,29.0,9.57,F,34.0
Airlines,Online,Value Plan,No,46.0,UNITED KINGDOM,109.0,38.15,M,42.0
Airlines,Online,Value Plan,No,8.0,CAMBODIA,23.0,8.05,M,118.0
Airlines,Online,Basic Plan,No,10.0,THAILAND,30.0,10.5,M,61.0
Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,291.75,72.94,M,31.0
Airlines,Online,Bronze Plan,No,27.0,SINGAPORE,17.55,4.39,M,40.0
Airlines,Online,Value Plan,No,6.0,INDIA,39.0,15.6,F,118.0
Airlines,Online,Basic Plan,No,19.0,PHILIPPINES,22.0,7.7,F,50.0
Travel Agency,Offline,Comprehensive Plan,No,122.0,THAILAND,29.0,9.57,F,60.0
Airlines,Online,Basic Plan,No,4.0,HONG KONG,22.0,7.7,M,34.0
Airlines,Online,24 Protect,No,5.0,SINGAPORE,20.0,7.0,M,48.0
Airlines,Online,Basic Plan,No,8.0,CAMBODIA,22.0,7.7,M,53.0
Airlines,Online,Value Plan,No,9.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Basic Plan,No,10.0,CHINA,26.0,9.1,M,46.0
Airlines,Online,Annual Silver Plan,Yes,367.0,SINGAPORE,291.75,72.94,M,31.0
Airlines,Online,Value Plan,No,45.0,"KOREA, REPUBLIC OF",58.0,20.3,F,26.0
Airlines,Online,Basic Plan,No,147.0,THAILAND,22.0,7.7,M,48.0
Airlines,Online,Basic Plan,No,16.0,PHILIPPINES,30.0,10.5,F,45.0
Airlines,Online,Silver Plan,No,26.0,SINGAPORE,127.0,31.75,F,30.0
Airlines,Online,Annual Silver Plan,No,388.0,SINGAPORE,252.85,63.21,F,31.0
Airlines,Online,Value Plan,No,14.0,BRUNEI DARUSSALAM,15.0,6.0,M,47.0
Airlines,Online,Basic Plan,No,12.0,PHILIPPINES,18.0,6.3,M,34.0
Airlines,Online,Basic Plan,No,65.0,MYANMAR,33.0,11.55,M,29.0
Airlines,Online,Value Plan,No,9.0,BRUNEI DARUSSALAM,15.0,6.0,F,38.0
Airlines,Online,Silver Plan,No,38.0,SINGAPORE,31.85,7.96,F,25.0
Airlines,Online,Bronze Plan,No,16.0,SINGAPORE,40.0,10.0,M,26.0
Airlines,Online,Bronze Plan,No,20.0,SINGAPORE,71.0,17.75,M,40.0
Airlines,Online,Basic Plan,No,109.0,HONG KONG,26.0,9.1,M,66.0
Travel Agency,Online,Premier Plan,No,89.0,INDONESIA,29.0,11.02,M,48.0
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,33.0
Airlines,Online,Value Plan,No,13.0,INDIA,45.0,15.75,M,61.0
Airlines,Online,Value Plan,No,9.0,BRUNEI DARUSSALAM,15.0,6.0,M,38.0
Airlines,Online,Annual Silver Plan,No,374.0,SINGAPORE,-252.85,63.21,F,42.0
Airlines,Online,24 Protect,No,16.0,UNITED ARAB EMIRATES,0.0,16.7,M,48.0
Airlines,Online,Basic Plan,No,2.0,"KOREA, REPUBLIC OF",22.0,7.7,F,22.0
Airlines,Online,Basic Plan,No,8.0,CHINA,26.0,9.1,M,45.0
Airlines,Online,Value Plan,No,2.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Basic Plan,No,6.0,THAILAND,18.0,6.3,M,49.0
Airlines,Online,Bronze Plan,No,58.0,SINGAPORE,53.5,13.38,F,30.0
Airlines,Online,Basic Plan,No,3.0,INDIA,22.0,7.7,M,60.0
Travel Agency,Offline,Comprehensive Plan,No,82.0,MALAYSIA,29.0,9.57,F,67.0
Airlines,Online,Basic Plan,No,16.0,MYANMAR,18.0,6.3,F,27.0
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,23.4,5.85,F,39.0
Travel Agency,Offline,Comprehensive Plan,No,59.0,MALAYSIA,29.0,9.57,F,33.0
Airlines,Online,Basic Plan,No,11.0,THAILAND,22.0,7.7,F,50.0
Airlines,Online,Bronze Plan,No,27.0,SINGAPORE,37.05,9.26,F,23.0
Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,47.0,11.75,F,36.0
Airlines,Online,Basic Plan,No,15.0,PHILIPPINES,30.0,10.5,M,27.0
Airlines,Online,Basic Plan,No,32.0,INDONESIA,30.0,10.5,F,35.0
Airlines,Online,Silver Plan,No,10.0,SINGAPORE,43.55,10.89,M,26.0
Airlines,Online,Basic Plan,No,67.0,NEW ZEALAND,22.0,7.7,M,24.0
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,24.05,6.01,M,37.0
Airlines,Online,Basic Plan,No,32.0,SRI LANKA,26.0,9.1,F,62.0
Airlines,Online,Basic Plan,No,20.0,THAILAND,22.0,7.7,M,34.0
Airlines,Online,Basic Plan,No,6.0,CHINA,26.0,9.1,M,58.0
Airlines,Online,Basic Plan,No,34.0,MALAYSIA,18.0,6.3,F,54.0
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,17.55,4.39,F,25.0
Airlines,Online,Value Plan,No,30.0,INDIA,39.0,15.6,F,118.0
Airlines,Online,Basic Plan,No,82.0,INDONESIA,30.0,10.5,M,28.0
Airlines,Online,Basic Plan,No,33.0,THAILAND,42.0,14.7,M,35.0
Airlines,Online,Value Plan,No,93.0,NEW CALEDONIA,58.0,20.3,M,32.0
Airlines,Online,Basic Plan,No,17.0,MYANMAR,22.0,7.7,M,51.0
Airlines,Online,Basic Plan,No,28.0,INDONESIA,47.0,16.45,F,50.0
Airlines,Online,24 Protect,No,4.0,SINGAPORE,19.5,6.82,M,48.0
Airlines,Online,Silver Plan,No,4.0,SINGAPORE,27.75,6.94,F,34.0
