Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age,Predicted Claim,Claim Probability
Airlines,Online,Value Plan,No,9.0,BRUNEI DARUSSALAM,15.0,6.0,M,53.0,0,5.1640734e-05
Airlines,Online,Basic Plan,No,9.0,"KOREA, REPUBLIC OF",35.0,12.25,M,28.0,0,1.2084671e-05
Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,23.5,5.88,M,23.0,0,0.005793346
Airlines,Online,Basic Plan,No,25.0,CHINA,35.0,12.25,F,60.0,0,0.0025893939
Airlines,Online,Basic Plan,No,20.0,THAILAND,18.0,6.3,F,47.0,0,0.0037803864
Airlines,Online,Basic Plan,No,53.0,PHILIPPINES,37.0,12.95,F,32.0,0,4.4424876e-05
Airlines,Online,Value Plan,No,10.0,"KOREA, REPUBLIC OF",45.0,15.75,M,53.0,0,2.6855374e-05
Airlines,Online,Bronze Plan,No,61.0,SINGAPORE,44.85,11.21,F,20.0,1,0.9975501
Airlines,Online,Value Plan,No,31.0,INDIA,31.0,12.4,F,118.0,0,0.00029149037
Airlines,Online,Basic Plan,No,17.0,MALAYSIA,30.0,10.5,F,38.0,0,0.0012682847
Travel Agency,Offline,Comprehensive Plan,No,5.0,THAILAND,0.0,9.57,F,27.0,0,0.00010919763
Airlines,Online,Basic Plan,No,10.0,INDONESIA,18.0,6.3,F,31.0,0,1.741465e-05
Airlines,Online,Basic Plan,No,40.0,THAILAND,22.0,7.7,M,42.0,0,0.0001324345
Airlines,Online,Value Plan,No,7.0,INDIA,31.0,12.4,M,118.0,0,2.5514804e-05
Airlines,Online,Value Plan,No,11.0,NEPAL,0.0,23.45,M,62.0,0,2.6203805e-08
Airlines,Online,Value Plan,No,16.0,INDIA,50.0,20.0,M,118.0,0,0.00010447333
Airlines,Online,Bronze Plan,No,17.0,SINGAPORE,23.5,5.88,F,25.0,1,0.33485642
Airlines,Online,Silver Plan,No,12.0,SINGAPORE,62.25,15.56,M,29.0,0,0.0025046149
Airlines,Online,Basic Plan,No,9.0,CHINA,35.0,12.25,M,46.0,0,0.013322565
Airlines,Online,Annual Gold Plan,No,375.0,SINGAPORE,449.25,112.31,F,35.0,1,0.968312
Airlines,Online,24 Protect,No,18.0,PHILIPPINES,4.98,1.74,M,48.0,0,4.7898353e-05
Airlines,Online,Value Plan,No,17.0,BRUNEI DARUSSALAM,15.0,6.0,M,45.0,0,1.0803622e-09
Airlines,Online,Silver Plan,No,5.0,SINGAPORE,24.05,6.01,F,32.0,0,0.00030984802
Airlines,Online,Annual Gold Plan,No,376.0,SINGAPORE,389.35,97.34,M,36.0,1,0.3717679
Airlines,Online,Basic Plan,No,16.0,"TAIWAN, PROVINCE OF CHINA",22.0,7.7,F,50.0,0,0.005256058
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,23.4,5.85,M,61.0,0,0.0011633115
Airlines,Online,Basic Plan,No,27.0,THAILAND,37.0,12.95,M,61.0,0,0.00055055623
Airlines,Online,Value Plan,No,5.0,VIET NAM,33.0,11.55,M,52.0,0,1.52194625e-05
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,17.55,4.39,F,26.0,1,0.035728868
Airlines,Online,Basic Plan,No,51.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,M,35.0,0,0.012421153
Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,17.55,4.39,F,58.0,0,0.001409816
Airlines,Online,Basic Plan,No,37.0,CHINA,44.0,15.4,F,33.0,0,3.3038384e-06
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,24.05,6.01,M,70.0,0,0.00013545592
Airlines,Online,24 Protect,No,2.0,PHILIPPINES,8.85,3.1,F,48.0,0,7.32568e-05
Airlines,Online,24 Protect,No,4.0,PHILIPPINES,14.08,4.93,M,48.0,0,0.0002464896
Airlines,Online,Bronze Plan,No,43.0,SINGAPORE,35.25,8.81,F,27.0,1,0.9551959
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,20.25,5.06,F,32.0,0,0.0061956435
Airlines,Online,Silver Plan,No,5.0,SINGAPORE,18.5,4.63,F,29.0,1,0.23324093
Airlines,Online,Value Plan,No,69.0,SWITZERLAND,167.0,58.45,F,55.0,1,0.35376036
Travel Agency,Online,Premier Plan,No,5.0,INDONESIA,38.0,14.44,M,48.0,0,0.0014954126
Airlines,Online,Basic Plan,No,42.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,33.0,1,0.047398716
Airlines,Online,Basic Plan,No,31.0,PHILIPPINES,22.0,7.7,M,43.0,0,0.00012155036
Airlines,Online,Basic Plan,No,15.0,PHILIPPINES,33.0,11.55,M,42.0,0,2.1416132e-05
Airlines,Online,Silver Plan,No,19.0,SINGAPORE,60.75,15.19,F,35.0,1,0.9168307
Airlines,Online,Value Plan,No,9.0,"KOREA, REPUBLIC OF",45.0,15.75,F,39.0,0,0.0009317372
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,27.0,6.75,F,13.0,0,0.00039001246
Airlines,Online,Value Plan,No,62.0,INDIA,31.0,12.4,M,118.0,0,6.877264e-05
Airlines,Online,Basic Plan,No,19.0,OMAN,55.0,19.25,F,26.0,0,7.4189384e-06
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,252.85,63.21,M,67.0,1,0.63821834
Airlines,Online,Basic Plan,No,1.0,CHINA,22.0,7.7,M,32.0,0,6.047531e-05
Airlines,Online,Basic Plan,No,50.0,CHINA,22.0,7.7,M,26.0,0,4.989119e-06
Airlines,Online,Value Plan,No,58.0,FRANCE,181.0,63.35,M,25.0,0,0.0006091662
Airlines,Online,Bronze Plan,No,12.0,SINGAPORE,46.15,11.54,F,40.0,1,0.090503156
Airlines,Online,Value Plan,No,15.0,BRUNEI DARUSSALAM,15.0,6.0,M,59.0,0,9.684443e-08
Travel Agency,Offline,Comprehensive Plan,No,75.0,THAILAND,29.0,9.57,M,70.0,0,0.002300513
Airlines,Online,Silver Plan,No,101.0,SINGAPORE,54.6,13.65,M,78.0,1,0.080239445
Airlines,Online,Basic Plan,No,24.0,THAILAND,22.0,7.7,F,60.0,0,0.0036781018
Airlines,Online,Basic Plan,No,10.0,INDIA,26.0,9.1,M,48.0,0,0.0062079784
Airlines,Online,Basic Plan,No,22.0,THAILAND,30.0,10.5,M,38.0,0,0.00011101737
Airlines,Online,Basic Plan,No,13.0,MALAYSIA,18.0,6.3,F,50.0,0,0.007033059
Airlines,Online,Basic Plan,No,4.0,THAILAND,22.0,7.7,M,57.0,0,0.00026830347
Airlines,Online,Basic Plan,No,11.0,INDONESIA,22.0,7.7,M,51.0,0,1.1906739e-05
Airlines,Online,Basic Plan,No,5.0,MALAYSIA,18.0,6.3,M,55.0,0,0.00022420933
Airlines,Online,Silver Plan,Yes,16.0,SINGAPORE,74.25,18.56,M,27.0,1,0.024994632
Airlines,Online,Basic Plan,No,9.0,THAILAND,22.0,7.7,M,44.0,0,5.7126275e-05
Airlines,Online,Basic Plan,No,37.0,CHINA,26.0,9.1,M,30.0,0,7.398482e-05
Travel Agency,Offline,Comprehensive Plan,No,40.0,MALAYSIA,29.0,9.57,F,43.0,0,0.0049920115
Airlines,Online,Bronze Plan,No,17.0,SINGAPORE,38.35,9.59,M,45.0,0,0.01054696
Airlines,Online,Basic Plan,No,48.0,INDONESIA,42.0,14.7,F,41.0,0,0.0003372205
Airlines,Online,Value Plan,No,26.0,JAPAN,45.0,15.75,M,48.0,0,0.00030630702
Airlines,Online,Basic Plan,No,12.0,CHINA,26.0,9.1,F,33.0,1,0.017753588
Airlines,Online,Silver Plan,No,7.0,SINGAPORE,27.75,6.94,F,34.0,0,0.006503441
Airlines,Online,Value Plan,No,8.0,BRUNEI DARUSSALAM,15.0,6.0,M,55.0,0,1.5618047e-06
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,23.4,5.85,M,50.0,0,0.0021819565
Airlines,Online,Basic Plan,No,24.0,INDIA,35.0,12.25,M,53.0,0,0.00044649898
Airlines,Online,Value Plan,No,10.0,BRUNEI DARUSSALAM,15.0,6.0,F,42.0,0,8.934515e-06
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,27.0,6.75,F,45.0,0,0.0036039385
Airlines,Online,Basic Plan,No,4.0,HONG KONG,22.0,7.7,M,56.0,1,0.123272054
Airlines,Online,Basic Plan,No,7.0,MALAYSIA,18.0,6.3,M,69.0,0,0.00016371116
Airlines,Online,Basic Plan,No,46.0,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,M,22.0,1,0.01712989
Airlines,Online,Basic Plan,No,9.0,MALAYSIA,22.0,7.7,M,32.0,0,5.6131095e-05
Airlines,Online,Annual Gold Plan,No,368.0,SINGAPORE,389.35,97.34,M,50.0,0,0.0015153505
Airlines,Online,Basic Plan,No,11.0,THAILAND,22.0,7.7,M,50.0,0,0.0001474388
Airlines,Online,Basic Plan,No,24.0,MYANMAR,18.0,6.3,F,31.0,0,1.366254e-05
Airlines,Online,Basic Plan,No,32.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,M,67.0,0,0.0019318978
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,18.9,4.72,F,31.0,1,0.72259325
Airlines,Online,Silver Plan,No,77.0,SINGAPORE,43.55,10.89,F,25.0,1,0.022818368
Airlines,Online,Basic Plan,No,8.0,CHINA,22.0,7.7,M,43.0,0,0.00018585041
Airlines,Online,Basic Plan,No,19.0,THAILAND,22.0,7.7,M,34.0,0,1.2509972e-05
Airlines,Online,Basic Plan,No,56.0,INDONESIA,42.0,14.7,F,35.0,0,0.00048956444
Airlines,Online,Basic Plan,No,178.0,THAILAND,22.0,7.7,M,59.0,0,0.00025300265
Airlines,Online,Basic Plan,No,28.0,HONG KONG,35.0,12.25,M,52.0,0,0.0020489907
Airlines,Online,Basic Plan,No,16.0,CHINA,26.0,9.1,M,46.0,0,0.000607134
Airlines,Online,Bronze Plan,Yes,5.0,SINGAPORE,17.55,4.39,F,32.0,1,0.9929726
Airlines,Online,Value Plan,No,13.0,"KOREA, REPUBLIC OF",58.0,20.3,F,41.0,0,0.0014355348
Airlines,Online,Bronze Plan,No,11.0,SINGAPORE,35.25,8.81,F,71.0,0,0.0064385324
Airlines,Online,Basic Plan,No,11.0,MACAO,35.0,12.25,F,53.0,0,6.328612e-08
Airlines,Online,Annual Silver Plan,Yes,374.0,SINGAPORE,291.75,72.94,M,53.0,1,0.9777754
Airlines,Online,Bronze Plan,Yes,14.0,SINGAPORE,22.1,5.53,M,26.0,1,0.99286205
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,43.0,0,8.186372e-05
Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,44.85,11.21,F,30.0,1,0.1434944
Travel Agency,Online,Value Plan,No,40.0,INDONESIA,22.0,8.36,F,48.0,0,8.1717095e-05
Airlines,Online,Silver Plan,No,35.0,SINGAPORE,76.3,19.07,M,48.0,1,0.90767324
Airlines,Online,Basic Plan,No,6.0,CHINA,26.0,9.1,F,40.0,0,0.0037429854
Airlines,Online,Value Plan,No,29.0,PAPUA NEW GUINEA,58.0,20.3,M,30.0,0,1.795521e-05
Airlines,Online,Basic Plan,No,7.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,41.0,0,0.0003248571
Airlines,Online,Basic Plan,No,76.0,HONG KONG,35.0,12.25,F,56.0,0,0.00045252763
Airlines,Online,Value Plan,No,14.0,BRUNEI DARUSSALAM,15.0,6.0,M,43.0,0,4.076617e-08
Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,18.0,4.5,M,28.0,1,0.08723163
Airlines,Online,Basic Plan,No,63.0,THAILAND,30.0,10.5,F,40.0,1,0.08286927
Airlines,Online,Bronze Plan,No,88.0,SINGAPORE,194.35,48.59,F,33.0,1,0.43928355
Airlines,Online,Basic Plan,No,5.0,MYANMAR,18.0,6.3,M,37.0,0,6.52391e-05
Airlines,Online,Value Plan,No,36.0,NETHERLANDS,109.0,38.15,M,32.0,0,1.0452644e-05
Airlines,Online,Basic Plan,No,8.0,MYANMAR,22.0,7.7,M,48.0,0,0.00036134312
Airlines,Online,Silver Plan,No,59.0,SINGAPORE,88.9,22.23,F,40.0,1,0.8466246
Airlines,Online,Basic Plan,No,7.0,THAILAND,22.0,7.7,F,61.0,0,0.00020167282
Airlines,Online,Bronze Plan,Yes,15.0,SINGAPORE,29.9,7.47,F,26.0,1,0.99176955
Travel Agency,Offline,Comprehensive Plan,No,66.0,THAILAND,29.0,9.57,F,61.0,1,0.018102726
Airlines,Online,Value Plan,No,58.0,NETHERLANDS,67.0,23.45,M,39.0,0,2.4628753e-05
Airlines,Online,Bronze Plan,No,50.0,SINGAPORE,69.55,17.39,F,39.0,1,0.60700303
Airlines,Online,24 Protect,No,7.0,MALAYSIA,2.19,0.77,M,48.0,0,7.8244106e-05
Airlines,Online,Value Plan,No,11.0,INDIA,31.0,12.4,M,118.0,0,3.7907766e-06
Airlines,Online,Basic Plan,No,5.0,CHINA,26.0,9.1,M,36.0,0,0.0007070707
Airlines,Online,Annual Silver Plan,Yes,375.0,SINGAPORE,187.85,46.96,F,38.0,1,0.99861944
Airlines,Online,Gold Plan,No,31.0,SINGAPORE,46.15,11.54,F,45.0,1,0.7007273
Airlines,Online,Basic Plan,No,15.0,CHINA,22.0,7.7,M,36.0,0,0.00014652025
Airlines,Online,Basic Plan,No,12.0,CHINA,26.0,9.1,F,48.0,1,0.050619453
Airlines,Online,Basic Plan,No,180.0,PHILIPPINES,30.0,10.5,F,33.0,0,2.617581e-05
Airlines,Online,Basic Plan,No,14.0,THAILAND,18.0,6.3,F,28.0,0,0.0029584244
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,291.75,72.94,M,31.0,1,0.02199345
Airlines,Online,Basic Plan,No,38.0,HONG KONG,26.0,9.1,F,48.0,0,0.0015283863
Airlines,Online,Bronze Plan,No,19.0,SINGAPORE,23.4,5.85,F,33.0,1,0.25124943
Airlines,Online,Value Plan,No,25.0,INDIA,31.0,12.4,M,118.0,0,5.075873e-05
Airlines,Online,Value Plan,No,22.0,INDIA,150.0,60.0,F,118.0,1,0.2132383
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,252.85,63.21,M,40.0,1,0.1196444
Airlines,Online,Value Plan,No,7.0,CHINA,36.0,12.6,M,69.0,0,0.00046280515
Airlines,Online,Basic Plan,No,14.0,CHINA,26.0,9.1,M,55.0,0,0.0072656563
Airlines,Online,Silver Plan,No,21.0,SINGAPORE,59.15,14.79,F,32.0,1,0.544403
Airlines,Online,Basic Plan,No,73.0,INDONESIA,18.0,6.3,M,48.0,0,2.1794203e-06
Airlines,Online,Basic Plan,No,107.0,AUSTRALIA,44.0,15.4,F,45.0,0,1.8441253e-06
Travel Agency,Offline,Comprehensive Plan,No,89.0,MALAYSIA,29.0,9.57,F,68.0,0,0.00040283686
Airlines,Online,Basic Plan,No,44.0,THAILAND,30.0,10.5,M,56.0,1,0.019214973
Airlines,Online,Basic Plan,No,50.0,INDIA,44.0,15.4,M,49.0,0,0.003214638
Airlines,Online,24 Protect,No,3.0,PHILIPPINES,5.23,1.83,M,48.0,0,7.45079e-05
Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,30.55,7.64,F,28.0,0,0.0017001712
Airlines,Online,Basic Plan,No,28.0,JAPAN,35.0,12.25,M,32.0,0,3.1062011e-06
Airlines,Online,Annual Silver Plan,No,373.0,SINGAPORE,252.85,63.21,F,32.0,1,0.8713427
Airlines,Online,Basic Plan,No,62.0,JAPAN,35.0,12.25,F,26.0,0,0.00010734895
Airlines,Online,Bronze Plan,No,21.0,SINGAPORE,69.55,17.39,M,28.0,0,0.0035640565
Airlines,Online,Basic Plan,No,8.0,THAILAND,18.0,6.3,M,65.0,0,0.0004213764
Airlines,Online,Silver Plan,No,3.0,SINGAPORE,19.5,4.88,M,27.0,0,1.0723842e-05
Airlines,Online,Basic Plan,No,4.0,THAILAND,22.0,7.7,M,30.0,0,8.013744e-06
Airlines,Online,Basic Plan,No,126.0,CHINA,26.0,9.1,M,37.0,0,1.202762e-05
Airlines,Online,Annual Gold Plan,No,364.0,SINGAPORE,389.35,97.34,M,36.0,1,0.023700414
Airlines,Online,Basic Plan,No,12.0,MALAYSIA,18.0,6.3,F,40.0,0,0.00030338037
Airlines,Online,Basic Plan,No,5.0,MALAYSIA,22.0,7.7,F,44.0,0,0.0012564127
Airlines,Online,Basic Plan,No,28.0,THAILAND,22.0,7.7,M,56.0,0,0.00029544768
Airlines,Online,Bronze Plan,No,69.0,SINGAPORE,137.0,34.25,F,73.0,1,0.06971898
Airlines,Online,Annual Silver Plan,No,369.0,SINGAPORE,252.85,63.21,M,40.0,1,0.92054325
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,17.55,4.39,F,46.0,0,0.000843536
Airlines,Online,Bronze Plan,No,23.0,SINGAPORE,53.5,13.38,F,30.0,1,0.08464699
Airlines,Online,Silver Plan,No,7.0,SINGAPORE,26.65,6.66,M,54.0,0,0.011973903
Travel Agency,Offline,Comprehensive Plan,No,77.0,THAILAND,29.0,9.57,F,67.0,0,0.006151243
Airlines,Online,Basic Plan,No,5.0,THAILAND,22.0,7.7,M,48.0,0,4.6268462e-05
Airlines,Online,Bronze Plan,No,14.0,SINGAPORE,13.5,3.38,M,27.0,0,0.010972821
Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,0.0,11.5,F,60.0,0,0.0009549915
Airlines,Online,Value Plan,No,41.0,INDONESIA,0.0,10.15,F,118.0,0,2.8151135e-05
Airlines,Online,Value Plan,No,20.0,UNITED KINGDOM,109.0,38.15,F,53.0,0,0.0028454887
Airlines,Online,Annual Silver Plan,No,371.0,SINGAPORE,301.0,75.25,M,58.0,0,0.006582839
Airlines,Online,Basic Plan,No,24.0,CHINA,26.0,9.1,M,53.0,0,0.0001651703
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,252.85,63.21,M,25.0,1,0.98510414
Airlines,Online,Value Plan,No,3.0,BRUNEI DARUSSALAM,15.0,6.0,M,36.0,0,6.6556786e-06
Airlines,Online,Annual Silver Plan,No,387.0,SINGAPORE,291.75,72.94,F,51.0,1,0.9095042
Travel Agency,Offline,Comprehensive Plan,No,34.0,MALAYSIA,29.0,9.57,F,78.0,0,9.084856e-05
Airlines,Online,24 Protect,No,100.0,SINGAPORE,61.0,21.35,M,48.0,0,0.0005321342
Airlines,Online,Value Plan,No,25.0,UNITED STATES,96.0,33.6,M,38.0,0,2.857951e-06
Airlines,Online,Bronze Plan,No,123.0,SINGAPORE,318.5,79.63,F,59.0,0,0.00040238432
Airlines,Online,Basic Plan,No,7.0,SRI LANKA,26.0,9.1,M,49.0,0,8.875405e-05
Airlines,Online,Basic Plan,No,44.0,HONG KONG,22.0,7.7,M,31.0,0,4.73426e-05
Airlines,Online,Basic Plan,No,13.0,THAILAND,18.0,6.3,M,58.0,0,0.002129288
Travel Agency,Online,Value Plan,No,6.0,FINLAND,58.0,22.04,M,48.0,0,0.0010585216
Airlines,Online,Value Plan,No,38.0,INDIA,60.0,24.0,F,118.0,0,0.01001654
Airlines,Online,Basic Plan,No,21.0,HONG KONG,35.0,12.25,M,47.0,0,3.3664528e-05
Airlines,Online,Basic Plan,No,25.0,CHINA,40.0,14.0,F,27.0,0,0.00013042583
Airlines,Online,Annual Silver Plan,Yes,368.0,SINGAPORE,187.85,46.96,F,37.0,1,0.9852959
Airlines,Online,Basic Plan,No,40.0,MYANMAR,52.0,18.2,M,20.0,0,0.00025414332
Airlines,Online,Basic Plan,No,13.0,CHINA,22.0,7.7,M,37.0,0,0.00031066738
Airlines,Online,Value Plan,No,202.0,FRANCE,149.0,52.15,M,38.0,0,0.00087757356
Airlines,Online,Bronze Plan,No,14.0,SINGAPORE,30.55,7.64,F,26.0,1,0.9781991
Airlines,Online,Value Plan,No,103.0,UNITED STATES,96.0,33.6,M,35.0,0,0.00019354452
Airlines,Online,Basic Plan,No,6.0,THAILAND,18.0,6.3,F,41.0,0,0.00013960293
Airlines,Online,Bronze Plan,No,23.0,SINGAPORE,14.95,3.74,F,37.0,0,0.00340236
Airlines,Online,Value Plan,No,6.0,BRUNEI DARUSSALAM,15.0,6.0,M,33.0,0,1.4748956e-06
Airlines,Online,Basic Plan,No,8.0,CHINA,22.0,7.7,M,44.0,0,0.00018019148
Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,53.25,13.31,M,34.0,0,0.00087584736
Airlines,Online,Basic Plan,No,7.0,CHINA,26.0,9.1,M,34.0,0,1.7061937e-05
Airlines,Online,Silver Plan,No,56.0,SINGAPORE,207.9,51.98,M,44.0,1,0.95080703
Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,20.25,5.06,F,31.0,0,0.010046074
Travel Agency,Offline,Comprehensive Plan,No,6.0,THAILAND,29.0,9.57,F,26.0,0,0.0040297173
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,54.0,0,7.290848e-05
Airlines,Online,Value Plan,No,10.0,INDIA,39.0,15.6,M,118.0,0,3.929785e-05
Airlines,Online,Basic Plan,No,17.0,THAILAND,22.0,7.7,M,25.0,0,0.0002578414
Travel Agency,Offline,Comprehensive Plan,No,70.0,MALAYSIA,29.0,9.57,F,69.0,0,0.0002186653
Airlines,Online,Basic Plan,No,8.0,CHINA,26.0,9.1,F,44.0,1,0.028867992
Airlines,Online,Basic Plan,No,16.0,THAILAND,22.0,7.7,F,45.0,0,0.0011581039
Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,34.0,8.5,F,32.0,0,0.0012546577
Airlines,Online,Basic Plan,No,63.0,AUSTRALIA,35.0,12.25,F,27.0,0,0.000311885
Airlines,Online,Basic Plan,No,1.0,MALAYSIA,18.0,6.3,M,37.0,0,3.710371e-05
Airlines,Online,Value Plan,No,53.0,UNITED STATES,96.0,33.6,M,50.0,0,0.00060943764
Airlines,Online,Value Plan,No,5.0,BRUNEI DARUSSALAM,15.0,6.0,F,28.0,0,1.6945193e-06
Airlines,Online,Value Plan,No,6.0,INDIA,31.0,12.4,M,118.0,0,2.5514804e-05
Airlines,Online,Basic Plan,No,3.0,THAILAND,22.0,7.7,F,21.0,0,2.27201e-05
Airlines,Online,Basic Plan,No,9.0,HONG KONG,26.0,9.1,M,56.0,1,0.33364928
Airlines,Online,Basic Plan,No,40.0,THAILAND,22.0,7.7,F,65.0,1,0.058836784
Airlines,Online,24 Protect,No,3.0,MALAYSIA,4.99,1.75,M,48.0,0,7.45079e-05
Travel Agency,Online,Premier Plan,No,97.0,NETHERLANDS,130.0,49.4,F,48.0,0,0.0067938557
Airlines,Online,Basic Plan,No,5.0,MALAYSIA,18.0,6.3,M,43.0,0,0.00010712674
Airlines,Online,Basic Plan,No,20.0,SRI LANKA,26.0,9.1,M,45.0,0,0.0049640727
Airlines,Online,Basic Plan,No,27.0,HONG KONG,26.0,9.1,F,50.0,0,0.0005604554
Airlines,Online,Basic Plan,No,7.0,MALAYSIA,22.0,7.7,M,43.0,0,0.0004644782
Airlines,Online,Silver Plan,No,101.0,SINGAPORE,54.6,13.65,F,56.0,1,0.21618256
Airlines,Online,Value Plan,No,139.0,UNITED STATES,810.0,283.5,F,118.0,0,0.00022805919
Airlines,Online,Value Plan,No,24.0,INDIA,31.0,12.4,M,118.0,0,5.428766e-05
Airlines,Online,Silver Plan,No,70.0,SINGAPORE,102.05,25.51,F,42.0,1,0.04132808
Airlines,Online,Basic Plan,No,33.0,THAILAND,30.0,10.5,M,56.0,0,0.0013512077
Airlines,Online,Basic Plan,No,35.0,THAILAND,22.0,7.7,F,51.0,0,0.005663132
Airlines,Online,Basic Plan,No,3.0,THAILAND,18.0,6.3,M,47.0,0,2.230577e-05
Travel Agency,Online,Value Plan,No,110.0,INDONESIA,28.0,10.64,F,48.0,0,0.00056526816
Airlines,Online,Basic Plan,No,37.0,PHILIPPINES,22.0,7.7,F,45.0,0,0.0008663701
Airlines,Online,Basic Plan,No,11.0,HONG KONG,26.0,9.1,M,59.0,1,0.11996097
Airlines,Online,Basic Plan,No,15.0,MALAYSIA,33.0,11.55,M,45.0,0,3.2589225e-05
Airlines,Online,Basic Plan,No,34.0,THAILAND,30.0,10.5,F,38.0,1,0.023920605
Airlines,Online,Silver Plan,No,86.0,SINGAPORE,109.0,27.25,F,47.0,1,0.229893
Airlines,Online,Silver Plan,No,5.0,SINGAPORE,27.75,6.94,M,46.0,1,0.017295126
Airlines,Online,Basic Plan,No,9.0,HONG KONG,22.0,7.7,M,47.0,0,0.003638252
Airlines,Online,Basic Plan,No,6.0,CHINA,26.0,9.1,M,60.0,1,0.017629461
Airlines,Online,Bronze Plan,No,12.0,SINGAPORE,30.55,7.64,F,51.0,0,0.0054429574
Airlines,Online,Value Plan,No,2.0,INDONESIA,26.0,9.1,M,118.0,0,4.4121784e-06
Airlines,Online,Silver Plan,No,35.0,SINGAPORE,46.15,11.54,M,32.0,0,0.0044680405
Airlines,Online,Basic Plan,No,33.0,"KOREA, REPUBLIC OF",63.0,22.05,F,24.0,0,6.527526e-05
Travel Agency,Offline,Comprehensive Plan,No,107.0,THAILAND,29.0,9.57,F,68.0,0,0.006159078
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,289.0,72.25,M,30.0,1,0.7626303
Airlines,Online,Silver Plan,No,68.0,SINGAPORE,62.25,15.56,F,26.0,1,0.5010308
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,291.75,72.94,F,27.0,0,0.004796535
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,40.2,10.05,M,28.0,0,0.001868439
Airlines,Online,Gold Plan,No,26.0,SINGAPORE,77.35,19.34,M,33.0,1,0.06726681
Travel Agency,Offline,Comprehensive Plan,No,9.0,THAILAND,29.0,9.57,F,80.0,0,0.0006585587
Travel Agency,Offline,Comprehensive Plan,No,84.0,THAILAND,29.0,9.57,F,56.0,0,0.015556248
Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,30.55,7.64,F,28.0,0,0.011740273
Airlines,Online,Value Plan,No,6.0,INDIA,78.0,31.2,M,118.0,0,8.0498634e-05
Airlines,Online,Basic Plan,No,123.0,CHINA,35.0,12.25,M,25.0,0,3.696523e-05
Airlines,Online,Basic Plan,No,17.0,CHINA,22.0,7.7,M,118.0,0,8.60418e-06
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,24.05,6.01,M,66.0,0,4.5085337e-05
Airlines,Online,Bronze Plan,No,18.0,SINGAPORE,53.5,13.38,M,29.0,0,0.004033598
Airlines,Online,Basic Plan,No,9.0,MALAYSIA,22.0,7.7,F,37.0,0,0.0008333252
Airlines,Online,Basic Plan,No,48.0,HONG KONG,26.0,9.1,M,48.0,0,0.00018187292
Airlines,Online,Basic Plan,No,6.0,MALAYSIA,18.0,6.3,M,63.0,0,3.4671466e-05
Airlines,Online,Bronze Plan,No,26.0,SINGAPORE,22.1,5.53,F,63.0,1,0.54983854
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,17.55,4.39,F,35.0,1,0.045985702
Airlines,Online,Value Plan,No,3.0,INDIA,31.0,12.4,M,118.0,0,2.3911512e-05
Airlines,Online,Basic Plan,No,24.0,CHINA,22.0,7.7,M,49.0,0,4.0835357e-07
Airlines,Online,Annual Silver Plan,Yes,365.0,SINGAPORE,187.85,46.96,F,26.0,1,0.9945615
Airlines,Online,Basic Plan,No,103.0,PHILIPPINES,33.0,11.55,F,50.0,0,0.00010474235
Airlines,Online,Basic Plan,No,8.0,THAILAND,22.0,7.7,M,47.0,0,4.3062028e-05
Airlines,Online,Value Plan,No,76.0,INDIA,100.0,40.0,F,118.0,1,0.072730035
