Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,87.0,PHILIPPINES,20.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,36.0,SOUTH AFRICA,89.1,53.46,,40.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18.0,MALDIVES,32.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,144.0,UNITED STATES,76.0,0.0,,41.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14.0,UNITED KINGDOM,112.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,83.0,AUSTRALIA,69.3,41.58,,31.0
JZI,Airlines,Online,Basic Plan,No,10.0,THAILAND,22.0,7.7,M,61.0
EPX,Travel Agency,Online,Cancellation Plan,No,112.0,IRELAND,80.0,0.0,,36.0
SSI,Airlines,Online,Ticket Protector,No,21.0,SINGAPORE,10.53,2.95,,48.0
EPX,Travel Agency,Online,Cancellation Plan,No,17.0,CHINA,54.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,21.0,CAMBODIA,10.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,4.0,MALAYSIA,10.0,0.0,,36.0
C2B,Airlines,Online,Bronze Plan,No,66.0,SINGAPORE,20.25,5.06,M,27.0
EPX,Travel Agency,Online,Cancellation Plan,No,20.0,PHILIPPINES,10.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,51.0,TURKEY,42.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,20.0,INDONESIA,20.0,0.0,,29.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,10.0,AUSTRALIA,0.0,23.76,,57.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,7.0,MALAYSIA,49.5,29.7,,52.0
C2B,Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,252.85,63.21,M,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,43.0,AUSTRALIA,59.4,35.64,,38.0
C2B,Airlines,Online,Silver Plan,No,22.0,SINGAPORE,70.85,17.71,F,77.0
JZI,Airlines,Online,Basic Plan,No,51.0,PHILIPPINES,33.0,11.55,F,34.0
JZI,Airlines,Online,Basic Plan,No,15.0,VIET NAM,30.0,10.5,M,44.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22.0,SINGAPORE,20.0,0.0,,38.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,3.0,CHINA,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,36.0,VIET NAM,0.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,39.0,THAILAND,27.0,0.0,,36.0
RAB,Airlines,Online,Value Plan,No,7.0,BRUNEI DARUSSALAM,15.0,6.0,M,27.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,73.0,SINGAPORE,21.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,152.0,"TAIWAN, PROVINCE OF CHINA",33.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1.0,SINGAPORE,31.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,31.0,AUSTRALIA,42.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,157.0,AUSTRALIA,59.0,0.0,,36.0
JWT,Airlines,Online,Value Plan,No,12.0,INDIA,39.0,15.6,F,118.0
EPX,Travel Agency,Online,Cancellation Plan,No,8.0,CAMBODIA,15.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,326.0,PHILIPPINES,19.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27.0,JAPAN,68.0,0.0,,36.0
JWT,Airlines,Online,Value Plan,No,8.0,INDIA,31.0,12.4,M,118.0
ART,Airlines,Online,Value Plan,No,41.0,CHINA,73.0,25.55,F,52.0
EPX,Travel Agency,Online,Cancellation Plan,No,12.0,AUSTRALIA,16.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,35.0,UNITED KINGDOM,45.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,55.0,AUSTRIA,12.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,40.0,CANADA,112.0,0.0,,26.0
EPX,Travel Agency,Online,Cancellation Plan,No,24.0,CHINA,27.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,16.0,JAPAN,13.0,0.0,,32.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14.0,INDONESIA,31.0,0.0,,27.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20.0,THAILAND,29.0,0.0,,35.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28.0,NEW ZEALAND,39.6,23.76,,31.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13.0,CHINA,0.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,4.0,THAILAND,10.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,37.0,CHINA,35.0,12.25,M,39.0
JZI,Airlines,Online,Basic Plan,No,16.0,CHINA,26.0,9.1,M,58.0
EPX,Travel Agency,Online,Cancellation Plan,No,8.0,CHINA,25.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,6.0,AUSTRALIA,0.0,17.82,,50.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,48.0,MALAYSIA,20.0,0.0,,53.0
JWT,Airlines,Online,Value Plan,No,11.0,INDIA,50.0,20.0,M,118.0
EPX,Travel Agency,Online,Cancellation Plan,No,14.0,JAPAN,13.0,0.0,,32.0
JZI,Airlines,Online,Basic Plan,No,7.0,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,39.0
EPX,Travel Agency,Online,Cancellation Plan,No,33.0,CAMBODIA,16.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10.0,UNITED STATES,112.0,0.0,,35.0
EPX,Travel Agency,Online,Cancellation Plan,No,2.0,"TANZANIA, UNITED REPUBLIC OF",16.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,5.0,THAILAND,22.0,7.7,M,47.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,42.0,IRELAND,99.0,59.4,,28.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,26.0,JAPAN,67.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,7.0,INDONESIA,80.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,207.0,ICELAND,79.2,47.52,,28.0
EPX,Travel Agency,Online,Cancellation Plan,No,36.0,GERMANY,56.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3.0,MALAYSIA,20.0,0.0,,35.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9.0,CHINA,32.0,0.0,,36.0
SSI,Airlines,Online,Ticket Protector,No,314.0,SINGAPORE,0.51,0.14,,48.0
EPX,Travel Agency,Online,Cancellation Plan,No,89.0,SINGAPORE,10.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,43.0,SWITZERLAND,112.0,0.0,,36.0
ART,Airlines,Online,24 Protect,No,11.0,THAILAND,23.24,8.13,M,48.0
EPX,Travel Agency,Online,Cancellation Plan,No,44.0,UNITED STATES,80.0,0.0,,50.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,12.0,THAILAND,59.4,35.64,,31.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,38.0,CANADA,0.0,23.76,,52.0
EPX,Travel Agency,Online,Cancellation Plan,No,19.0,CHINA,44.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8.0,"TAIWAN, PROVINCE OF CHINA",66.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,23.0,MALAYSIA,19.8,11.88,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,11.0,UNITED KINGDOM,35.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9.0,MALAYSIA,20.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,46.0,CHINA,26.0,9.1,M,28.0
C2B,Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,18.0,4.5,F,34.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,30.0,SINGAPORE,20.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,18.0,AUSTRALIA,89.1,53.46,,44.0
RAB,Airlines,Online,Value Plan,No,8.0,BRUNEI DARUSSALAM,15.0,6.0,M,47.0
EPX,Travel Agency,Online,Cancellation Plan,No,29.0,SINGAPORE,10.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,45.0,UNITED STATES,20.0,0.0,,64.0
JZI,Airlines,Online,Basic Plan,No,27.0,CHINA,40.0,14.0,F,48.0
JZI,Airlines,Online,Basic Plan,No,12.0,CHINA,22.0,7.7,F,64.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,92.0,HONG KONG,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,49.0,"KOREA, REPUBLIC OF",34.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,108.0,HONG KONG,15.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,18.0,CYPRUS,112.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,32.0,THAILAND,12.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,52.0,PHILIPPINES,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,43.0,SAUDI ARABIA,96.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,84.0,HONG KONG,15.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,26.0,PHILIPPINES,21.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18.0,CHINA,33.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10.0,"TAIWAN, PROVINCE OF CHINA",50.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,74.0,MALAYSIA,10.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,107.0,DENMARK,-247.5,148.5,,48.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,14.0,GERMANY,0.0,59.4,,30.0
EPX,Travel Agency,Online,Cancellation Plan,No,143.0,GREECE,21.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,8.0,NEPAL,45.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,69.0,INDONESIA,10.0,0.0,,46.0
C2B,Airlines,Online,Bronze Plan,No,76.0,SINGAPORE,64.2,16.05,F,39.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,45.0,AUSTRALIA,79.2,47.52,,31.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,37.0,MALAYSIA,0.0,17.82,,31.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12.0,THAILAND,26.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,110.0,SINGAPORE,57.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,29.0,UNITED KINGDOM,9.9,5.94,,53.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,29.0,CHINA,27.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,40.0,INDONESIA,10.0,0.0,,24.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,46.0,SINGAPORE,43.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,43.0,UNITED KINGDOM,23.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,12.0,NORWAY,39.6,23.76,,36.0
JZI,Airlines,Online,Basic Plan,No,6.0,CHINA,26.0,9.1,M,37.0
EPX,Travel Agency,Online,Cancellation Plan,No,17.0,THAILAND,26.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,36.0,NEW ZEALAND,148.5,89.1,,34.0
EPX,Travel Agency,Online,Cancellation Plan,No,1.0,SINGAPORE,10.0,0.0,,36.0
JZI,Airlines,Online,Value Plan,No,12.0,UNITED KINGDOM,109.0,38.15,M,51.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1.0,JAPAN,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,60.0,SINGAPORE,11.0,0.0,,25.0
RAB,Airlines,Online,Value Plan,No,10.0,BRUNEI DARUSSALAM,15.0,6.0,F,49.0
EPX,Travel Agency,Online,Cancellation Plan,No,17.0,SINGAPORE,22.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,11.0,UNITED ARAB EMIRATES,39.6,23.76,,38.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,30.0,POLAND,112.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,38.0,INDONESIA,20.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,93.0,INDONESIA,20.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,25.0,CHINA,26.0,9.1,F,44.0
EPX,Travel Agency,Online,Cancellation Plan,No,10.0,MALAYSIA,59.0,0.0,,37.0
C2B,Airlines,Online,Gold Plan,Yes,62.0,SINGAPORE,178.75,44.69,F,23.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,42.0,PHILIPPINES,0.0,0.0,,36.0
RAB,Airlines,Online,Value Plan,No,44.0,BRUNEI DARUSSALAM,15.0,6.0,M,39.0
RAB,Airlines,Online,Value Plan,No,39.0,BRUNEI DARUSSALAM,42.0,16.8,F,66.0
KML,Travel Agency,Online,Value Plan,No,26.0,NETHERLANDS,95.0,36.1,M,48.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,50.0,THAILAND,38.0,0.0,,47.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,10.0,CHINA,88.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,9.0,AUSTRALIA,9.9,5.94,,40.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,99.0,AUSTRALIA,25.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,87.0,MYANMAR,11.0,0.0,,36.0
JZI,Airlines,Online,Value Plan,No,15.0,JAPAN,58.0,20.3,M,48.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21.0,VIET NAM,24.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,20.0,CHINA,27.0,0.0,,36.0
ADM,Travel Agency,Online,Premier Plan,No,141.0,FRANCE,111.0,42.18,F,52.0
EPX,Travel Agency,Online,Cancellation Plan,No,6.0,THAILAND,32.0,0.0,,23.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,3.0,HONG KONG,20.0,0.0,,49.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,106.0,AUSTRALIA,79.2,47.52,,57.0
EPX,Travel Agency,Online,Cancellation Plan,No,68.0,PHILIPPINES,10.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,4.0,SINGAPORE,17.0,0.0,,46.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16.0,CHINA,43.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,31.0,PHILIPPINES,20.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,140.0,JAPAN,67.0,0.0,,36.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,5.0,THAILAND,29.0,9.57,M,39.0
EPX,Travel Agency,Online,Cancellation Plan,No,19.0,SWITZERLAND,-80.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,29.0,SAUDI ARABIA,60.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28.0,ITALY,49.5,29.7,,31.0
EPX,Travel Agency,Online,Cancellation Plan,No,62.0,"TAIWAN, PROVINCE OF CHINA",28.0,0.0,,36.0
C2B,Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,30.55,7.64,M,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,11.0,VIET NAM,45.0,0.0,,36.0
C2B,Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,17.55,4.39,M,30.0
EPX,Travel Agency,Online,Cancellation Plan,No,1.0,INDIA,10.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,139.0,AUSTRALIA,69.3,41.58,,43.0
EPX,Travel Agency,Online,Cancellation Plan,No,6.0,THAILAND,10.0,0.0,,44.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,169.0,ITALY,118.8,71.28,,37.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,150.0,UNITED STATES,-112.0,0.0,,69.0
JZI,Airlines,Online,Value Plan,No,9.0,"KOREA, REPUBLIC OF",36.0,12.6,M,41.0
C2B,Airlines,Online,Gold Plan,No,16.0,SINGAPORE,114.75,28.69,F,33.0
EPX,Travel Agency,Online,Cancellation Plan,No,189.0,"KOREA, REPUBLIC OF",45.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,13.0,JAPAN,13.0,0.0,,26.0
EPX,Travel Agency,Online,Cancellation Plan,No,34.0,CHINA,20.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,17.0,UNITED ARAB EMIRATES,112.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,11.0,MALAYSIA,10.0,0.0,,49.0
C2B,Airlines,Online,Annual Silver Plan,No,378.0,SINGAPORE,252.85,63.21,F,43.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,45.0,UNITED STATES,50.0,0.0,,33.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,23.0,INDIA,20.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,49.0,THAILAND,22.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,8.0,MALAYSIA,10.0,0.0,,23.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,42.0,AZERBAIJAN,112.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,20.0,AUSTRALIA,29.7,17.82,,46.0
JZI,Airlines,Online,Basic Plan,No,16.0,INDONESIA,18.0,6.3,F,38.0
JWT,Airlines,Online,Value Plan,No,76.0,INDIA,120.0,48.0,F,118.0
JZI,Airlines,Online,Basic Plan,No,7.0,THAILAND,22.0,7.7,M,38.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,103.0,UNITED STATES,39.6,23.76,,35.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,59.0,JAPAN,0.0,35.64,,67.0
JZI,Airlines,Online,Basic Plan,No,53.0,NEPAL,31.0,10.85,M,27.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27.0,INDONESIA,20.0,0.0,,33.0
EPX,Travel Agency,Online,Cancellation Plan,No,5.0,SINGAPORE,10.0,0.0,,33.0
JZI,Airlines,Online,Basic Plan,No,72.0,CHINA,26.0,9.1,F,48.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8.0,MALAYSIA,20.0,0.0,,37.0
EPX,Travel Agency,Online,Cancellation Plan,No,63.0,SINGAPORE,17.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,19.0,UNITED STATES,10.0,0.0,,47.0
EPX,Travel Agency,Online,Cancellation Plan,No,324.0,PERU,128.0,0.0,,54.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,43.0,JAPAN,112.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,2.0,MALAYSIA,14.0,0.0,,22.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18.0,CHINA,37.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39.0,INDIA,35.0,0.0,,36.0
CSR,Travel Agency,Offline,Comprehensive Plan,No,70.0,THAILAND,29.0,9.57,F,62.0
EPX,Travel Agency,Online,Cancellation Plan,No,3.0,MALAYSIA,17.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,94.0,SWEDEN,158.4,95.04,,54.0
EPX,Travel Agency,Online,Cancellation Plan,No,25.0,UNITED STATES,80.0,0.0,,30.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,68.0,UNITED STATES,-59.4,35.64,,46.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,97.0,SINGAPORE,111.0,0.0,,50.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,9.0,SINGAPORE,31.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12.0,FRANCE,92.0,0.0,,36.0
RAB,Airlines,Online,Value Plan,No,9.0,BRUNEI DARUSSALAM,15.0,6.0,M,53.0
JZI,Airlines,Online,Basic Plan,No,9.0,"KOREA, REPUBLIC OF",35.0,12.25,M,28.0
EPX,Travel Agency,Online,Cancellation Plan,No,8.0,VIET NAM,10.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,62.0,"TAIWAN, PROVINCE OF CHINA",22.0,0.0,,36.0
C2B,Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,23.5,5.88,M,23.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11.0,INDONESIA,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,17.0,SINGAPORE,80.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,5.0,CHINA,22.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13.0,THAILAND,29.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,1.0,THAILAND,10.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5.0,AUSTRALIA,9.9,5.94,,41.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,22.0,THAILAND,19.8,11.88,,26.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,46.0,SPAIN,95.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18.0,JAPAN,59.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8.0,JAPAN,29.7,17.82,,44.0
EPX,Travel Agency,Online,Cancellation Plan,No,35.0,SINGAPORE,10.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,113.0,CHINA,16.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,37.0,POLAND,29.7,17.82,,27.0
EPX,Travel Agency,Online,Cancellation Plan,No,16.0,JAPAN,13.0,0.0,,24.0
EPX,Travel Agency,Online,Cancellation Plan,No,5.0,INDIA,17.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,19.0,AUSTRALIA,29.7,17.82,,43.0
JZI,Airlines,Online,Basic Plan,No,25.0,CHINA,35.0,12.25,F,60.0
EPX,Travel Agency,Online,Cancellation Plan,No,3.0,GERMANY,37.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,5.0,INDONESIA,20.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,20.0,THAILAND,18.0,6.3,F,47.0
JZI,Airlines,Online,Basic Plan,No,53.0,PHILIPPINES,37.0,12.95,F,32.0
EPX,Travel Agency,Online,Cancellation Plan,No,72.0,INDIA,24.0,0.0,,21.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23.0,NETHERLANDS,28.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,85.0,UNITED STATES,80.0,0.0,,35.0
JZI,Airlines,Online,Value Plan,No,10.0,"KOREA, REPUBLIC OF",45.0,15.75,M,53.0
EPX,Travel Agency,Online,Cancellation Plan,No,9.0,MALAYSIA,23.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,43.0,NETHERLANDS,108.9,65.34,,48.0
EPX,Travel Agency,Online,Cancellation Plan,No,11.0,HONG KONG,15.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,3.0,CHINA,38.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20.0,INDONESIA,20.0,0.0,,49.0
EPX,Travel Agency,Online,Cancellation Plan,No,27.0,CHINA,19.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2.0,MALAYSIA,20.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,25.0,VIET NAM,20.0,0.0,,52.0
EPX,Travel Agency,Online,Cancellation Plan,No,18.0,UNITED KINGDOM,10.0,0.0,,36.0
C2B,Airlines,Online,Bronze Plan,No,61.0,SINGAPORE,44.85,11.21,F,20.0
JWT,Airlines,Online,Value Plan,No,31.0,INDIA,31.0,12.4,F,118.0
EPX,Travel Agency,Online,Cancellation Plan,No,11.0,PHILIPPINES,26.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,14.0,"KOREA, REPUBLIC OF",35.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,79.0,MALAYSIA,20.0,0.0,,22.0
EPX,Travel Agency,Online,Cancellation Plan,No,303.0,THAILAND,22.0,0.0,,51.0
JZI,Airlines,Online,Basic Plan,No,17.0,MALAYSIA,30.0,10.5,F,38.0
CCR,Travel Agency,Offline,Comprehensive Plan,No,5.0,THAILAND,0.0,9.57,F,27.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,89.0,CHINA,40.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,7.0,THAILAND,10.0,0.0,,36.0
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2.0,CHINA,28.0,0.0,,36.0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,24.0,MALAYSIA,49.5,29.7,,42.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28.0,SINGAPORE,20.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,10.0,INDONESIA,18.0,6.3,F,31.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21.0,CHINA,41.0,0.0,,36.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,17.0,PHILIPPINES,43.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,53.0,INDONESIA,12.0,0.0,,36.0
JZI,Airlines,Online,Basic Plan,No,40.0,THAILAND,22.0,7.7,M,42.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,17.0,UNITED STATES,93.0,0.0,,29.0
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,64.0,VIET NAM,20.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,13.0,PHILIPPINES,16.0,0.0,,36.0
JWT,Airlines,Online,Value Plan,No,7.0,INDIA,31.0,12.4,M,118.0
EPX,Travel Agency,Online,Cancellation Plan,No,15.0,AUSTRALIA,10.0,0.0,,36.0
EPX,Travel Agency,Online,Cancellation Plan,No,124.0,SINGAPORE,26.0,0.0,,36.0
